Order,Title,Epic,Module,Type,Priority,Task/Bug/Enhancement Description,Notes,Blocker Task ID
1,Implement Email + OTP Authentication,Authentication,Authentication,Task,Low,"Replace impersonation with email + OTP login. Store OTP in cookies for persistent login on the same device. Include a fallback to Google SSO if feasible. **Current Issue**: Impersonation is insecure. **Expected Behavior**: Secure login with email + OTP, persistent via cookies, optional Google SSO. **Context**: Foundational security feature, not urgent for demo.",Low priority as demo can proceed without it.,
2,Fix Inconsistent Availability in Assignments,Bug Fixes,Assignments,Bug,High,"Fix inconsistent availability display in admin screen search. **Current Issue**: Availability (e.g., 8th morning) flips on refresh. **Expected Behavior**: Availability reflects commitments consistently. **Context**: Likely due to linking assignments/check-ins to profile IDs instead of volunteer IDs.",Investigate profile ID vs. volunteer ID mismatch.,
3,Fix Attendance Icons for Volunteer Role,Bug Fixes,Assignments,Bug,Medium,"Update Volunteer role to see green tick/red cross for past/current attendance instead of clock icons. **Current Issue**: Volunteers see clock icons post-attendance. **Expected Behavior**: Green tick (attended) or red cross (not attended) for past/current slots; keep clock logic (red past, orange current, gray future) for unlogged slots. **Context**: Admin/Team Lead display correctly.",Specific to Volunteer role UI.,
4,Fix Search Functionality in Assignments,Search Fixes,Assignments,Sub-Task,Medium,"Prevent ""search volunteer"" from refreshing data until the search button is clicked. Add a small search/go button for mobile. **Current Issue**: Search triggers prematurely. **Expected Behavior**: Data pulls only on button click or enter key (desktop). **Context**: Improves user control, fixes mobile return key failure.",Part of global search fix; prioritize mobile usability.,
5,Fix Volunteer Login Bug in Assignments,Bug Fixes,Assignments,Bug,High,"Fix Volunteer role login to show only family members (same email ID) on Assignments screen. **Current Issue**: Shows all volunteers or none. **Expected Behavior**: Displays only family members tied to the email, using volunteer IDs not profile IDs. **Context**: Profile ID mismatch affects Volunteer usability.",Root cause likely profile ID vs. volunteer ID; critical for demo.,
6,Fix Volunteer Login Bug in T-shirts,Bug Fixes,T-shirts,Bug,High,"Fix Volunteer role login to show only family members (same email ID) on T-shirts screen. **Current Issue**: Shows all volunteers or none. **Expected Behavior**: Displays only family members tied to the email, using volunteer IDs not profile IDs. **Context**: Same root cause as Assignments bug.",Root cause likely profile ID vs. volunteer ID; critical for demo.,
7,Fix Barcode Generation in T-shirts,Bug Fixes,T-shirts,Bug,High,Fix barcode generation failure for Volunteer role and test scanning functionality. **Current Issue**: Barcodes don’t generate for Volunteers. **Expected Behavior**: Barcodes generate and scan correctly for all roles. **Context**: Essential for T-shirt distribution demo.,Needs validation post-fix for demo readiness.,
8,Fix Search Functionality in T-shirts,Search Fixes,T-shirts,Sub-Task,Medium,"Prevent ""search volunteer"" from refreshing data until the search button is clicked. Add a small search/go button for mobile. **Current Issue**: Search triggers prematurely. **Expected Behavior**: Data pulls only on button click or enter key (desktop). **Context**: Improves user control, fixes mobile return key failure.",Part of global search fix; prioritize mobile usability.,
9,Add VolunteerVerse Branding,UI Enhancements,UI,Enhancement,High,"Add VolunteerVerse logo, title, and one-line description in the top-left corner of all screens. **Current Issue**: No branding present. **Expected Behavior**: Consistent branding across the app. **Context**: Key for demo visibility.",High priority for professional demo appearance.,
10,Restrict Team Lead View to Allocated Tasks,Role-Based Access,Global,Task,High,Restrict Team Lead view to show only volunteers assigned to their tasks across all screens. **Current Issue**: Team Leads see all volunteers. **Expected Behavior**: Show only their assigned volunteers. **Context**: Critical for role-based security.,High priority for demo; impacts usability and security.,
